,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
11,Aditya Bhaskara,Utilizing Confidence in Localization Predictions for Improved Spectrum Management,DeepMTL Pro: Deep Learning Based Multiple Transmitter Localization and Power Estimation,University of Utah,40.7628137,-111.8368719,Salt Lake County,Salt Lake City,Utah,United States
12,Adrian Cottam,A transfer learning framework for proactive ramp metering performance assessment,DeepMTL Pro: Deep Learning Based Multiple Transmitter Localization and Power Estimation,"Assistant Research Professor, Auburn University",,,,,,
13,Adrian Cottam,A transfer learning framework for proactive ramp metering performance assessment,DeepMTL Pro: Deep Learning Based Multiple Transmitter Localization and Power Estimation,Auburn University,32.5919528,-85.4959775,Lee County,Auburn,Alabama,United States
14,Agbotiname Lucky Imoize,A Comprehensive Survey on AI-Assisted Multiple Access Enablers for 6G and beyond Wireless Networks,DeepAlloc: Deep Learning Approach to Spectrum Allocation in Shared Spectrum Systems,"Department of Electrical and Electronics Engineering, University of Lagos",,,,,,
15,Agbotiname Lucky Imoize,A Comprehensive Survey on AI-Assisted Multiple Access Enablers for 6G and beyond Wireless Networks,DeepAlloc: Deep Learning Approach to Spectrum Allocation in Shared Spectrum Systems,Electronics Engineering,,,,,,
16,Agbotiname Lucky Imoize,A Comprehensive Survey on AI-Assisted Multiple Access Enablers for 6G and beyond Wireless Networks,DeepAlloc: Deep Learning Approach to Spectrum Allocation in Shared Spectrum Systems,University of Lagos,6.5120272,3.3935314,Lagos Mainland,,Lagos State,Nigeria
17,Ahmad Nimr,Blind transmitter localization in wireless sensor networks: A deep learning approach,Efficient Localization of Multiple Intruders in Shared Spectrum System,"Vodafone Chair Researcher, TU Dresden",,,,,,
18,Ahmad Nimr,Blind transmitter localization using deep learning: a scalability study,DeepMTL: Deep Learning Based Multiple Transmitter Localization,"Vodafone Chair Researcher, TU Dresden",,,,,,
19,Alexander Kolar,Design and simulation of the adaptive continuous entanglement generation protocol,Discrete Outcome Quantum Sensor Networks,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
20,Alexander Kolar,Design and simulation of the adaptive continuous entanglement generation protocol,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
21,Alexander Kolar,Design and simulation of the adaptive continuous entanglement generation protocol,Optimized distribution of entanglement graph states in quantum networks,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
22,Alexander Kolar,Design and simulation of the adaptive continuous entanglement generation protocol,Optimizing Initial State of Detector Sensors in Quantum Sensor Networks,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
23,Alexander Kolar,Design and simulation of the adaptive continuous entanglement generation protocol,Quantum Sensor Network Algorithms for Transmitter Localization,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
24,Alexander Kolar,Design and simulation of the adaptive continuous entanglement generation protocol,Simulation of quantum transduction strategies for quantum networks,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
25,Alexander Kolar,Quantum advantage in distributed sensing with noisy quantum networks,Design and simulation of the adaptive continuous entanglement generation protocol,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
26,Alexander Kolar,Quantum advantage in distributed sensing with noisy quantum networks,Optimized distribution of entanglement graph states in quantum networks,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
27,Alexander Pirker,"A resource-centric, task-based approach to quantum network control",Design and simulation of the adaptive continuous entanglement generation protocol,University of Innsbruck,47.263316,11.3844733,,Innsbruck,Tyrol,Austria
28,Alexander Pirker,Flexible Qubit Allocation of Network Resource States,Simulation of entanglement-enabled connectivity in qlans using sequence,University of Innsbruck,47.263316,11.3844733,,Innsbruck,Tyrol,Austria
29,Alexander Pirker,Graph state extraction from two-dimensional cluster states,Optimized distribution of entanglement graph states in quantum networks,University of Innsbruck,47.263316,11.3844733,,Innsbruck,Tyrol,Austria
30,Alexander Pirker,QPing: a Quantum Ping Primitive for Quantum Networks,Optimized distribution of entanglement graph states in quantum networks,University of Innsbruck,47.263316,11.3844733,,Innsbruck,Tyrol,Austria
31,Alexander Sanchez de la Cerda,Entanglement purification on quantum networks,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,Harvard University,42.3657432,-71.1222139,Suffolk County,Boston,Massachusetts,United States
32,Alhussein Abouzeid,Privacy-aware deep learning based localization of spectrum violators,DeepMTL Pro: Deep Learning Based Multiple Transmitter Localization and Power Estimation,ECSE,47.4242549,20.9761618,Jász-Nagykun-Szolnok,,,Hungary
33,Alhussein Abouzeid,Privacy-aware deep learning based localization of spectrum violators,DeepMTL: Deep Learning Based Multiple Transmitter Localization,ECSE,47.4242549,20.9761618,Jász-Nagykun-Szolnok,,,Hungary
34,Alhussein Abouzeid,Privacy-aware deep learning based localization of spectrum violators,Efficient Localization of Multiple Intruders in Shared Spectrum System,ECSE,47.4242549,20.9761618,Jász-Nagykun-Szolnok,,,Hungary
35,Alhussein Abouzeid,Spec-GNN: Spectrum Enforcement Through Graph Neural Networks in Dynamic Spectrum Access Systems,DeepMTL Pro: Deep Learning Based Multiple Transmitter Localization and Power Estimation,ECSE,47.4242549,20.9761618,Jász-Nagykun-Szolnok,,,Hungary
36,Alhussein Abouzeid,Spec-GNN: Spectrum Enforcement Through Graph Neural Networks in Dynamic Spectrum Access Systems,Efficient Localization of Multiple Intruders in Shared Spectrum System,ECSE,47.4242549,20.9761618,Jász-Nagykun-Szolnok,,,Hungary
37,Allen Zang,Design and simulation of the adaptive continuous entanglement generation protocol,Discrete Outcome Quantum Sensor Networks,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
38,Allen Zang,Design and simulation of the adaptive continuous entanglement generation protocol,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
39,Allen Zang,Design and simulation of the adaptive continuous entanglement generation protocol,Optimized distribution of entanglement graph states in quantum networks,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
40,Allen Zang,Design and simulation of the adaptive continuous entanglement generation protocol,Optimizing Initial State of Detector Sensors in Quantum Sensor Networks,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
41,Allen Zang,Design and simulation of the adaptive continuous entanglement generation protocol,Quantum Sensor Network Algorithms for Transmitter Localization,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
42,Allen Zang,Design and simulation of the adaptive continuous entanglement generation protocol,Simulation of quantum transduction strategies for quantum networks,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
43,Allen Zang,Entanglement Purification in Quantum Networks: Guaranteed Improvement and Optimal Time,Design and simulation of the adaptive continuous entanglement generation protocol,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
44,Allen Zang,Hardware-Software Co-design for Distributed Quantum Computing,Design and simulation of the adaptive continuous entanglement generation protocol,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
45,Allen Zang,No-go theorems for universal entanglement purification,Design and simulation of the adaptive continuous entanglement generation protocol,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
46,Allen Zang,Quantum advantage in distributed sensing with noisy quantum networks,Design and simulation of the adaptive continuous entanglement generation protocol,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
47,Allen Zang,Quantum advantage in distributed sensing with noisy quantum networks,Optimized distribution of entanglement graph states in quantum networks,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
48,Alvin Gonzales,InterQnet: A Heterogeneous Full-Stack Approach to Co-designing Scalable Quantum Networks,Design and simulation of the adaptive continuous entanglement generation protocol,Argonne National Laboratory,41.709141,-87.9786195,DuPage County,,Illinois,United States
49,Alvin Gonzales,InterQnet: A Heterogeneous Full-Stack Approach to Co-designing Scalable Quantum Networks,Simulation of quantum transduction strategies for quantum networks,Argonne National Laboratory,41.709141,-87.9786195,DuPage County,,Illinois,United States
50,Alvin Gonzales,Quantum advantage in distributed sensing with noisy quantum networks,Design and simulation of the adaptive continuous entanglement generation protocol,Argonne National Laboratory,41.709141,-87.9786195,DuPage County,,Illinois,United States
51,Alvin Gonzales,Quantum advantage in distributed sensing with noisy quantum networks,Optimized distribution of entanglement graph states in quantum networks,Argonne National Laboratory,41.709141,-87.9786195,DuPage County,,Illinois,United States
52,Amar Abane,Entanglement routing in quantum networks: A comprehensive survey,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,NIST,39.1316116,-77.2165406,Montgomery County,Gaithersburg,Maryland,United States
53,Amar Abane,Entanglement routing in quantum networks: A comprehensive survey,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,Researcher,,,,,,
54,Amar Abane,Entanglement routing in quantum networks: A comprehensive survey,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,"Researcher, NIST",,,,,,
55,Amar Abane,Towards Optimal Orders for Entanglement Swapping in Path Graphs: A Greedy Approach,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,NIST,39.1316116,-77.2165406,Montgomery County,Gaithersburg,Maryland,United States
56,Amar Abane,Towards Optimal Orders for Entanglement Swapping in Path Graphs: A Greedy Approach,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,Researcher,,,,,,
57,Amar Abane,Towards Optimal Orders for Entanglement Swapping in Path Graphs: A Greedy Approach,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,"Researcher, NIST",,,,,,
58,Amin Zare,VIA: Establishing the link between spectrum sensor capabilities and data analytics performance,Selection of Sensors for Efficient Transmitter Localization,"KU Leuven, Researcher",,,,,,
59,Amin Zare,VIA: Establishing the link between spectrum sensor capabilities and data analytics performance,Selection of Sensors for Efficient Transmitter Localization,Researcher,,,,,,
60,"Amir Behzadan, Ph.D., M.ASCE",Crowdsourced-based deep convolutional networks for urban flood depth mapping,DeepMTL: Deep Learning Based Multiple Transmitter Localization,"Professor, University of Colorado Boulder",,,,,,
61,"Amir Behzadan, Ph.D., M.ASCE",Crowdsourced-based deep convolutional networks for urban flood depth mapping,DeepMTL: Deep Learning Based Multiple Transmitter Localization,University of Colorado Boulder,40.0070061,-105.2664423,Boulder County,Boulder,Colorado,United States
62,"Amir Behzadan, Ph.D., M.ASCE",Scalable flood inundation mapping using deep convolutional networks and traffic signage,DeepMTL: Deep Learning Based Multiple Transmitter Localization,"Professor, University of Colorado Boulder",,,,,,
63,"Amir Behzadan, Ph.D., M.ASCE",Scalable flood inundation mapping using deep convolutional networks and traffic signage,DeepMTL: Deep Learning Based Multiple Transmitter Localization,University of Colorado Boulder,40.0070061,-105.2664423,Boulder County,Boulder,Colorado,United States
64,Anatolij Zubow,Deeptxfinder: Multiple transmitter localization by deep learning in crowdsourced spectrum sensing,Efficient Localization of Multiple Intruders in Shared Spectrum System,Senior Researcher,,,,,,
65,Anatolij Zubow,Deeptxfinder: Multiple transmitter localization by deep learning in crowdsourced spectrum sensing,Efficient Localization of Multiple Intruders in Shared Spectrum System,"Senior Researcher, Technische Universität Berlin",,,,,,
66,Anatolij Zubow,Deeptxfinder: Multiple transmitter localization by deep learning in crowdsourced spectrum sensing,Efficient Localization of Multiple Intruders in Shared Spectrum System,Technische Universität Berlin,52.5110159,13.3269541,,Berlin,,Germany
67,Anatolij Zubow,Deeptxfinder: Multiple transmitter localization by deep learning in crowdsourced spectrum sensing,Selection of Sensors for Efficient Transmitter Localization,Senior Researcher,,,,,,
68,Anatolij Zubow,Deeptxfinder: Multiple transmitter localization by deep learning in crowdsourced spectrum sensing,Selection of Sensors for Efficient Transmitter Localization,"Senior Researcher, Technische Universität Berlin",,,,,,
69,Anatolij Zubow,Deeptxfinder: Multiple transmitter localization by deep learning in crowdsourced spectrum sensing,Selection of Sensors for Efficient Transmitter Localization,Technische Universität Berlin,52.5110159,13.3269541,,Berlin,,Germany
70,Andreas F. Molisch,Cognitive Radio for Asymmetric Cellular Downlink with Multi-User MIMO,DeepAlloc: Deep Learning Approach to Spectrum Allocation in Shared Spectrum Systems,"Professor of Electrical Engineering, University of Southern California",,,,,,
71,Andreas F. Molisch,Cognitive Radio for Asymmetric Cellular Downlink with Multi-User MIMO,DeepAlloc: Deep Learning Approach to Spectrum Allocation in Shared Spectrum Systems,University of Southern California,34.021869,-118.2858579,Los Angeles County,Los Angeles,California,United States
72,Angela Sara Cacciapuoti,Modelling quantum transduction for multipartite entanglement distribution,Simulation of entanglement-enabled connectivity in qlans using sequence,Co-founder of the Quantum Internet Research Group and Professor - University of Naples Federico II,,,,,,
73,Angela Sara Cacciapuoti,Modelling quantum transduction for multipartite entanglement distribution,Simulation of quantum transduction strategies for quantum networks,Co-founder of the Quantum Internet Research Group and Professor - University of Naples Federico II,,,,,,
74,Angela Sara Cacciapuoti,On the Efficient Extraction of Entangled Resources,Simulation of entanglement-enabled connectivity in qlans using sequence,Co-founder of the Quantum Internet Research Group and Professor - University of Naples Federico II,,,,,,
75,Angela Sara Cacciapuoti,Quantum Data Centers: Why Entanglement Changes Everything,Simulation of entanglement-enabled connectivity in qlans using sequence,Co-founder of the Quantum Internet Research Group and Professor - University of Naples Federico II,,,,,,
76,Angela Sara Cacciapuoti,Quantum Data Centers: Why Entanglement Changes Everything,Simulation of quantum transduction strategies for quantum networks,Co-founder of the Quantum Internet Research Group and Professor - University of Naples Federico II,,,,,,
77,Aniqua Baset,Deep learning-based localization in limited data regimes,DeepMTL Pro: Deep Learning Based Multiple Transmitter Localization and Power Estimation,The Aerospace Corporation,33.9155862,-118.3823266,Los Angeles County,,California,United States
78,Aniqua Baset,Deep learning-based localization in limited data regimes,Efficient Localization of Multiple Intruders in Shared Spectrum System,The Aerospace Corporation,33.9155862,-118.3823266,Los Angeles County,,California,United States
79,Anoosha Fayyaz,On Selecting Paths for End-to-End Entanglement Creation in Quantum Networks,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,University of Pittsburgh,40.444153,-79.962461,Allegheny County,Pittsburgh,Pennsylvania,United States
80,Anupam Biswas, Locating multiple rumor sources in social networks using partial information of monitors,Quantum Sensor Network Algorithms for Transmitter Localization,Assistant Professor (NIT Silchar),,,,,,
81,Arani Bhattacharya, Efficient localization of multiple intruders in shared spectrum system,Selection of Sensors for Efficient Transmitter Localization,"Assistant Professor, IIIT-Delhi",,,,,,
82,Arani Bhattacharya, Efficient localization of multiple intruders in shared spectrum system,Selection of Sensors for Efficient Transmitter Localization,IIIT-Delhi,28.546326,77.2732571,,Delhi,,India
83,Arani Bhattacharya,A gaussian process based technique of efficient sensor selection for transmitter localization,Selection of Sensors for Efficient Transmitter Localization,"Assistant Professor, IIIT-Delhi",,,,,,
84,Arani Bhattacharya,A gaussian process based technique of efficient sensor selection for transmitter localization,Selection of Sensors for Efficient Transmitter Localization,IIIT-Delhi,28.546326,77.2732571,,Delhi,,India
85,Arani Bhattacharya,Fast and efficient online selection of sensors for transmitter localization,DeepMTL: Deep Learning Based Multiple Transmitter Localization,"Assistant Professor, IIIT-Delhi",,,,,,
86,Arani Bhattacharya,Fast and efficient online selection of sensors for transmitter localization,DeepMTL: Deep Learning Based Multiple Transmitter Localization,IIIT-Delhi,28.546326,77.2732571,,Delhi,,India
87,Arani Bhattacharya,Fast and efficient online selection of sensors for transmitter localization,Efficient Localization of Multiple Intruders in Shared Spectrum System,"Assistant Professor, IIIT-Delhi",,,,,,
88,Arani Bhattacharya,Fast and efficient online selection of sensors for transmitter localization,Efficient Localization of Multiple Intruders in Shared Spectrum System,IIIT-Delhi,28.546326,77.2732571,,Delhi,,India
89,Arani Bhattacharya,Fast and efficient online selection of sensors for transmitter localization,Selection of Sensors for Efficient Transmitter Localization,"Assistant Professor, IIIT-Delhi",,,,,,
90,Arani Bhattacharya,Fast and efficient online selection of sensors for transmitter localization,Selection of Sensors for Efficient Transmitter Localization,IIIT-Delhi,28.546326,77.2732571,,Delhi,,India
91,Arani Bhattacharya,Selection of sensors for efficient transmitter localization,Efficient Localization of Multiple Intruders in Shared Spectrum System,"Assistant Professor, IIIT-Delhi",,,,,,
92,Arani Bhattacharya,Selection of sensors for efficient transmitter localization,Efficient Localization of Multiple Intruders in Shared Spectrum System,IIIT-Delhi,28.546326,77.2732571,,Delhi,,India
93,Arash Ahmadi,A Residual Neural Network Approach to Transmitter Localization,DeepMTL Pro: Deep Learning Based Multiple Transmitter Localization and Power Estimation,Graduate Student at École de Technologie Supérieure (ETS),,,,,,
94,Arash Ahmadi,A Residual Neural Network Approach to Transmitter Localization,DeepMTL Pro: Deep Learning Based Multiple Transmitter Localization and Power Estimation,École de Technologie Supérieure (ETS),45.4945155,-73.5628555,Urban agglomeration of Montreal,Montreal,Quebec,Canada
95,Bahareh Alizadeh,Crowdsourced-based deep convolutional networks for urban flood depth mapping,DeepMTL: Deep Learning Based Multiple Transmitter Localization,Texas A&M University,30.6108618,-96.3520606,Brazos County,College Station,Texas,United States
96,Bahareh Alizadeh,Scalable flood inundation mapping using deep convolutional networks and traffic signage,DeepMTL: Deep Learning Based Multiple Transmitter Localization,Texas A&M University,30.6108618,-96.3520606,Brazos County,College Station,Texas,United States
97,Bikun Li,Peer-to-Peer Distribution of Graph States Across Spacetime Quantum Networks of Arbitrary Topology,Optimized distribution of entanglement graph states in quantum networks,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
98,Bikun Li,Space-time Peer-to-Peer Distribution of Multi-party Entanglement for Any Quantum Network,Optimized distribution of entanglement graph states in quantum networks,University of Chicago,33.9718431,-117.3485119,Riverside County,Riverside,California,United States
99,Bin Huang, Probabilistic load forecasting for integrated energy systems using attentive quantile regression temporal convolutional network,DeepMTL Pro: Deep Learning Based Multiple Transmitter Localization and Power Estimation,Southern Methodist University,32.8418011,-96.7815281,Dallas County,,Texas,United States
100,Bin Huang, Probabilistic load forecasting for integrated energy systems using attentive quantile regression temporal convolutional network,DeepMTL: Deep Learning Based Multiple Transmitter Localization,Southern Methodist University,32.8418011,-96.7815281,Dallas County,,Texas,United States
101,Biplab Sikdar, RETRACTED: Tripartite W-States and LOCC Marvel: Quantum Communication's Dynamic Duo,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,"Provost's Chair Professor, National University of Singapore",,,,,,
102,Biplab Sikdar,Beyond bits: A review of quantum embedding techniques for efficient information processing,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,"Provost's Chair Professor, National University of Singapore",,,,,,
103,Biplab Sikdar,Enhancing 5G and 6G Communication with Tripartite Perfect W-States and LOCC Approach,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,"Provost's Chair Professor, National University of Singapore",,,,,,
104,Bogdan-Calin Ciobanu,Optimal quantum network decongestion strategies,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,Researcher,,,,,,
105,Bogdan-Calin Ciobanu,Optimal quantum network decongestion strategies,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,"Researcher, University Politehnica of Bucharest",,,,,,
106,Bogdan-Calin Ciobanu,Optimal quantum network decongestion strategies,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,University Politehnica of Bucharest,44.439368,26.0506033,,Bucharest,,Romania
107,Bruno Coutinho, Shortest Path Finding in Quantum Networks With Quasi-Linear Complexity,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,IT,42.6384261,12.674297,Terni,Terni,Umbria,Italy
108,Bruno Coutinho,Entanglement routing based on fidelity curves,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,IT,42.6384261,12.674297,Terni,Terni,Umbria,Italy
109,Bruno Coutinho,Shortest path finding in quantum networks with quasi-linear complexity,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,IT,42.6384261,12.674297,Terni,Terni,Umbria,Italy
110,Bruno Coutinho,[CITATION][C] Entanglement routing based on fidelity curves for quantum photonics channels,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,IT,42.6384261,12.674297,Terni,Terni,Umbria,Italy
111,C.R. Ramakrishnan, Near-Optimal Techniques for Distributed Entanglement Generation and Purification,Design and simulation of the adaptive continuous entanglement generation protocol,"Professor of Computer Science, Stony Brook University",,,,,,
112,C.R. Ramakrishnan, Near-Optimal Techniques for Distributed Entanglement Generation and Purification,Design and simulation of the adaptive continuous entanglement generation protocol,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
113,C.R. Ramakrishnan, Near-Optimal Techniques for Distributed Entanglement Generation and Purification,Discrete Outcome Quantum Sensor Networks,"Professor of Computer Science, Stony Brook University",,,,,,
114,C.R. Ramakrishnan, Near-Optimal Techniques for Distributed Entanglement Generation and Purification,Discrete Outcome Quantum Sensor Networks,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
115,C.R. Ramakrishnan, Near-Optimal Techniques for Distributed Entanglement Generation and Purification,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,"Professor of Computer Science, Stony Brook University",,,,,,
116,C.R. Ramakrishnan, Near-Optimal Techniques for Distributed Entanglement Generation and Purification,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
117,C.R. Ramakrishnan, Near-Optimal Techniques for Distributed Entanglement Generation and Purification,Optimized distribution of entanglement graph states in quantum networks,"Professor of Computer Science, Stony Brook University",,,,,,
118,C.R. Ramakrishnan, Near-Optimal Techniques for Distributed Entanglement Generation and Purification,Optimized distribution of entanglement graph states in quantum networks,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
119,C.R. Ramakrishnan, Near-Optimal Techniques for Distributed Entanglement Generation and Purification,Optimizing Initial State of Detector Sensors in Quantum Sensor Networks,"Professor of Computer Science, Stony Brook University",,,,,,
120,C.R. Ramakrishnan, Near-Optimal Techniques for Distributed Entanglement Generation and Purification,Optimizing Initial State of Detector Sensors in Quantum Sensor Networks,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
121,C.R. Ramakrishnan, Near-Optimal Techniques for Distributed Entanglement Generation and Purification,Simulation of entanglement-enabled connectivity in qlans using sequence,"Professor of Computer Science, Stony Brook University",,,,,,
122,C.R. Ramakrishnan, Near-Optimal Techniques for Distributed Entanglement Generation and Purification,Simulation of entanglement-enabled connectivity in qlans using sequence,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
123,C.R. Ramakrishnan, Optimized Distribution of Entanglement Graph States in Quantum Networks,Design and simulation of the adaptive continuous entanglement generation protocol,"Professor of Computer Science, Stony Brook University",,,,,,
124,C.R. Ramakrishnan, Optimized Distribution of Entanglement Graph States in Quantum Networks,Design and simulation of the adaptive continuous entanglement generation protocol,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
125,C.R. Ramakrishnan, Optimized Distribution of Entanglement Graph States in Quantum Networks,Discrete Outcome Quantum Sensor Networks,"Professor of Computer Science, Stony Brook University",,,,,,
126,C.R. Ramakrishnan, Optimized Distribution of Entanglement Graph States in Quantum Networks,Discrete Outcome Quantum Sensor Networks,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
127,C.R. Ramakrishnan, Optimized Distribution of Entanglement Graph States in Quantum Networks,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,"Professor of Computer Science, Stony Brook University",,,,,,
128,C.R. Ramakrishnan, Optimized Distribution of Entanglement Graph States in Quantum Networks,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
129,C.R. Ramakrishnan, Optimized Distribution of Entanglement Graph States in Quantum Networks,Optimizing Initial State of Detector Sensors in Quantum Sensor Networks,"Professor of Computer Science, Stony Brook University",,,,,,
130,C.R. Ramakrishnan, Optimized Distribution of Entanglement Graph States in Quantum Networks,Optimizing Initial State of Detector Sensors in Quantum Sensor Networks,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
131,C.R. Ramakrishnan, Optimized Distribution of Entanglement Graph States in Quantum Networks,Quantum Sensor Network Algorithms for Transmitter Localization,"Professor of Computer Science, Stony Brook University",,,,,,
132,C.R. Ramakrishnan, Optimized Distribution of Entanglement Graph States in Quantum Networks,Quantum Sensor Network Algorithms for Transmitter Localization,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
133,C.R. Ramakrishnan, Optimized Distribution of Entanglement Graph States in Quantum Networks,Transmitter localization and optimizing initial state in classical/quantum sensor networks,"Professor of Computer Science, Stony Brook University",,,,,,
134,C.R. Ramakrishnan, Optimized Distribution of Entanglement Graph States in Quantum Networks,Transmitter localization and optimizing initial state in classical/quantum sensor networks,Stony Brook University,40.9090809,-73.1205518,Suffolk County,,New York,United States
135,C.R. Ramakrishnan,A Comprehensive Protocol Stack for Quantum Networks with a Global Entanglement Module,Efficient Quantum Network Communication Using Optimized Entanglement Swapping Trees,"Professor of Computer Science, Stony Brook University",,,,,,
